id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
28,4,1,1,3,0,1,0,0,1,1,2013,1,111,1,0,0.333333333333333,0.333333333333333
30,1,0,1,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
30,2,0,1,5,0,0,0,0,0,1,2011,1,111,1,0,0,0
30,4,0,1,5,0,0,0,0,0,0,2013,1,111,1,0,0,0
31,2,1,0,3.5,0,0,0,0,0,1,2011,1,111,1,0.333333333333333,0.666666666666667,0.333333333333333
31,3,1,0,3.5,0,1,0,0,0,0,2012,1,111,1,0.5,1,0.5
31,4,1,0,3,0,1,1,0,1,0,2013,1,111,1,0.375,0.875,0.5
33,2,1,0,1.5,0,1,0,0,0,1,2011,1,111,1,0.142857142857143,0.571428571428571,0
33,4,1,0,1.5,0,1,0,0,0,0,2013,1,111,0,0,0,0
34,1,0,1,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
34,2,0,1,4.5,0,0,0,0,0,0,2011,1,111,1,0,0.1,0
34,4,0,1,4.5,0,1,0,0,1,1,2013,1,111,1,0,0,0
35,1,1,1,4.5,0,0,0,1,1,1,2010,1,111,1,-1,-1,-1
35,2,1,1,4.5,0,0,0,0,0,1,2011,1,111,1,0.2,0.6,0.2
35,3,1,1,4,0,0,0,1,0,1,2012,1,111,1,0,0.6,0
35,4,1,1,5,0,0,0,1,1,1,2013,1,111,1,0,1,0
36,2,0,0,4.75,0,0,0,0,0,0,2011,1,111,1,0.0769230769230769,0.307692307692308,0.0769230769230769
36,4,0,0,5,0,0,0,0,0,0,2013,1,111,1,0,0,0
37,1,1,1,3,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
37,2,1,1,2.5,0,1,0,0,0,1,2011,1,111,1,0,0,0
37,4,1,1,2.5,1,1,1,0,1,1,2013,1,111,1,0,0,0
38,1,0,0,4.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
38,2,0,0,4.5,0,0,0,1,0,1,2011,1,111,1,0.333333333333333,0.333333333333333,0.666666666666667
38,4,0,0,4.5,0,1,0,0,1,1,2013,1,111,1,0,0,0
39,3,1,1,2.5,0,1,1,0,0,1,2012,1,111,1,0,0,0
39,4,1,1,2.5,0,1,1,0,0,1,2013,1,111,1,0.428571428571429,0.714285714285714,0.571428571428571
40,1,1,1,3,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
40,2,1,1,3.25,0,0,0,0,0,0,2011,1,111,1,0,0.333333333333333,0
40,4,1,1,3.5,0,1,1,0,1,0,2013,1,111,1,0,0,0
41,1,0,1,5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
41,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
41,4,0,1,5,0,0,0,0,0,0,2013,1,111,1,0,0,0
42,1,0,0,3.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
42,2,0,0,3.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
42,4,0,0,3.5,0,0,0,0,0,0,2013,1,111,1,0,0,0
